NumberOfTrials,NumberShown,Response,Correctness,ResponseTime
1,4,False,False,
2,6,False,False,
3,6,True,True,0
4,6,True,True,0
5,2,True,True,0
6,6,True,True,0
7,8,True,True,0
8,9,True,True,0
9,9,True,True,0
10,3,True,False,0
11,4,False,False,
12,8,True,True,0
13,8,True,True,0
14,9,True,True,0
15,7,True,True,0
16,3,True,False,0
17,6,True,True,0
18,5,True,True,0
19,4,True,True,0
20,9,True,True,0
21,8,True,True,0
22,2,True,True,0
23,8,True,True,0
24,7,True,True,0
25,6,True,True,0
26,7,True,True,0
27,4,True,True,0
28,6,True,True,0
29,1,True,True,0
30,9,True,True,0
31,1,True,True,0
32,4,True,True,0
33,1,True,True,0
34,9,True,True,0
35,6,True,True,0
36,2,True,True,0
37,4,True,True,0
38,3,True,False,0
39,3,False,True,
40,2,False,False,
41,9,True,True,0
42,4,True,True,0
43,9,True,True,0
44,8,True,True,0
45,4,True,True,0
46,6,True,True,0
47,5,True,True,0
48,7,True,True,0
49,4,True,True,0
50,4,True,True,0
51,2,True,True,0
52,8,True,True,0
53,8,True,True,0
54,4,True,True,0
55,8,True,True,0
56,9,True,True,0
57,3,True,False,0
58,6,False,False,
59,7,True,True,0
60,5,True,True,0
61,5,True,True,0
62,2,True,True,0
63,9,True,True,0
64,4,True,True,0
65,4,True,True,0
66,8,True,True,0
67,9,True,True,0
68,4,True,True,0
69,2,True,True,0
70,8,True,True,0
71,5,True,True,0
72,5,True,True,0
73,2,True,True,0
74,3,True,False,0
75,7,False,False,
76,4,True,True,0
77,5,True,True,0
78,7,True,True,0
79,3,True,False,0
80,1,False,False,
81,7,True,True,0
82,3,True,False,0
83,5,False,False,
84,4,True,True,0
85,8,True,True,0
86,3,True,False,0
87,1,False,False,
88,3,True,False,0
89,9,False,False,
90,1,True,True,0
91,4,False,False,
92,2,True,True,0
93,2,True,True,0
94,9,True,True,0
95,7,True,True,0
96,2,True,True,0
97,3,True,False,0
98,3,True,False,0
99,4,True,True,0
100,5,True,True,0
101,1,True,True,0
102,3,True,False,0
103,5,False,False,
104,3,True,False,0
105,9,False,False,
106,4,True,True,0
107,2,True,True,0
108,4,True,True,0
109,6,True,True,0
110,1,True,True,0
111,2,True,True,0
112,4,True,True,0
113,4,True,True,0
114,6,True,True,0
115,6,True,True,0
116,9,True,True,0
117,5,True,True,0
118,3,True,False,0
119,6,False,False,
120,3,True,False,0
121,6,False,False,
122,8,True,True,0
123,4,False,False,
124,7,True,True,0
125,9,True,True,0
126,1,True,True,0
127,7,True,True,0
128,5,True,True,0
129,8,True,True,0
130,4,True,True,0
131,7,True,True,0
132,3,True,False,0
133,2,False,False,
134,4,True,True,0
135,5,True,True,0
136,8,True,True,0
137,2,True,True,0
138,9,True,True,0
139,3,True,False,0
140,1,False,False,
141,8,True,True,0
142,2,True,True,0
143,8,True,True,0
144,5,True,True,0
145,4,True,True,0
146,5,True,True,0
147,9,True,True,0
148,7,True,True,0
149,5,True,True,0
150,6,True,True,0
151,2,True,True,0
152,3,True,False,0
153,9,False,False,
154,2,True,True,0
155,6,True,True,0
156,2,True,True,0
157,1,True,True,0
158,4,True,True,0
159,3,True,False,0
160,4,False,False,
161,6,True,True,0
162,3,True,False,0
163,6,False,False,
164,1,True,True,0
165,8,True,True,0
166,1,True,True,0
167,5,True,True,0
168,2,True,True,0
169,6,True,True,0
170,1,True,True,0
171,1,True,True,0
172,4,True,True,0
173,8,True,True,0
174,6,True,True,0
175,5,True,True,0
176,2,True,True,0
177,8,True,True,0
178,5,True,True,0
179,4,True,True,0
180,1,True,True,0
181,4,True,True,0
182,7,True,True,0
183,9,True,True,0
184,3,True,False,0
185,1,False,False,
186,6,True,True,0
187,2,True,True,0
188,5,True,True,0
189,5,True,True,0
190,6,True,True,0
191,3,True,False,0
192,4,True,True,0
193,2,True,True,0
194,9,True,True,0
195,3,True,False,0
196,7,True,True,0
197,9,True,True,0
198,7,True,True,0
199,9,True,True,0
200,7,True,True,0
201,9,True,True,0
202,1,True,True,0
203,8,True,True,0
204,7,True,True,0
205,9,True,True,0
206,6,True,True,0
207,5,True,True,0
208,5,True,True,0
209,2,True,True,0
210,1,True,True,0
211,6,True,True,0
212,4,True,True,0
213,7,True,True,0
214,1,True,True,0
215,8,True,True,0
216,5,True,True,0
217,9,True,True,0
218,3,True,False,0
219,2,False,False,
220,9,True,True,0
221,7,True,True,0
222,9,True,True,0
223,5,True,True,0
224,7,True,True,0
225,7,True,True,0
226,7,True,True,0
227,5,True,True,0
