NumberOfTrials,NumberShown,Response,Correctness,ResponseTime
1,3,False,True,
2,6,False,False,
3,1,True,True,0
4,7,True,True,0
5,5,True,True,0
6,6,True,True,0
7,2,True,True,0
8,9,True,True,0
9,7,True,True,0
10,8,True,True,0
11,7,True,True,0
12,8,True,True,0
13,4,True,True,0
14,2,True,True,0
15,9,True,True,0
16,5,True,True,0
17,7,True,True,0
18,6,True,True,0
19,8,True,True,0
20,2,True,True,0
21,2,True,True,0
22,9,True,True,0
23,7,True,True,0
24,7,True,True,0
25,6,True,True,0
26,4,True,True,0
27,5,True,True,0
28,2,True,True,0
29,9,True,True,0
30,9,True,True,0
31,8,True,True,0
32,5,True,True,0
33,1,True,True,0
34,7,True,True,0
35,8,True,True,0
36,6,True,True,0
37,7,True,True,0
38,7,True,True,0
39,3,True,False,0
40,6,False,False,
41,1,True,True,0
42,3,True,False,0
43,9,False,False,
44,3,True,False,0
45,7,False,False,
46,9,True,True,0
47,6,True,True,0
48,6,True,True,0
49,6,True,True,0
50,2,True,True,0
51,1,True,True,0
52,1,True,True,0
53,4,True,True,0
54,8,True,True,0
55,1,True,True,0
56,1,True,True,0
57,4,True,True,0
58,1,True,True,0
59,1,True,True,0
60,6,True,True,0
61,4,True,True,0
62,8,True,True,0
63,5,True,True,0
64,2,True,True,0
65,3,True,False,0
66,5,False,False,
67,6,True,True,0
68,8,True,True,0
69,5,True,True,0
70,4,True,True,0
71,9,True,True,0
72,7,True,True,0
73,8,True,True,0
74,8,True,True,0
75,4,True,True,0
76,4,True,True,0
77,6,True,True,0
78,4,True,True,0
79,4,True,True,0
80,8,True,True,0
81,1,True,True,0
82,3,True,False,0
83,7,True,True,0
84,4,True,True,0
85,4,True,True,0
86,5,True,True,0
87,4,True,True,0
88,9,True,True,0
89,1,True,True,0
90,2,True,True,0
91,9,True,True,0
92,4,True,True,0
93,4,True,True,0
94,7,True,True,0
95,2,True,True,0
96,1,True,True,0
97,8,True,True,0
98,5,True,True,0
99,5,True,True,0
100,3,True,False,0
101,7,False,False,
102,5,True,True,0
103,3,True,False,0
104,8,False,False,
105,9,True,True,0
106,6,True,True,0
107,3,True,False,0
108,7,False,False,
109,3,True,False,0
110,4,False,False,
111,8,True,True,0
112,9,True,True,0
113,7,True,True,0
114,8,True,True,0
115,7,True,True,0
116,5,True,True,0
117,4,True,True,0
118,4,True,True,0
119,3,True,False,0
120,9,True,True,0
121,4,True,True,0
122,4,True,True,0
123,7,True,True,0
124,9,True,True,0
125,6,True,True,0
126,2,True,True,0
127,7,True,True,0
128,1,True,True,0
129,5,True,True,0
130,6,True,True,0
131,6,True,True,0
132,7,True,True,0
133,1,True,True,0
134,3,True,False,0
135,6,False,False,
136,1,True,True,0
137,4,True,True,0
138,2,True,True,0
139,4,True,True,0
140,3,True,False,0
141,9,False,False,
142,1,True,True,0
143,7,True,True,0
144,3,True,False,0
145,2,False,False,
146,4,True,True,0
147,2,True,True,0
148,1,True,True,0
149,4,True,True,0
150,2,True,True,0
151,4,True,True,0
152,1,True,True,0
153,2,True,True,0
154,4,True,True,0
155,9,True,True,0
156,5,True,True,0
157,9,True,True,0
158,2,True,True,0
159,4,True,True,0
160,8,True,True,0
161,4,True,True,0
162,3,True,False,0
163,1,False,False,
164,6,True,True,0
165,6,True,True,0
166,3,True,False,0
167,4,False,False,
168,1,True,True,0
169,8,True,True,0
170,5,True,True,0
171,5,True,True,0
172,9,True,True,0
173,3,True,False,0
174,8,False,False,
175,2,True,True,0
176,5,True,True,0
177,8,True,True,0
178,2,True,True,0
179,9,True,True,0
180,5,True,True,0
181,8,True,True,0
182,2,True,True,0
183,1,True,True,0
184,2,True,True,0
185,6,True,True,0
186,7,True,True,0
187,2,True,True,0
188,8,True,True,0
189,6,True,True,0
190,4,True,True,0
191,3,True,False,0
192,7,False,False,
193,3,True,False,0
194,5,False,False,
195,7,True,True,0
196,4,True,True,0
197,1,True,True,0
198,5,True,True,0
199,9,True,True,0
200,8,True,True,0
201,6,True,True,0
202,5,True,True,0
203,8,True,True,0
204,7,True,True,0
205,5,True,True,0
206,1,True,True,0
207,5,True,True,0
208,4,True,True,0
209,4,True,True,0
210,5,True,True,0
211,3,True,False,0
212,1,True,True,0
213,3,True,False,0
214,6,False,False,
215,5,True,True,0
216,8,True,True,0
217,1,True,True,0
218,3,True,False,0
219,2,True,True,0
220,3,True,False,0
221,1,False,False,
222,3,True,False,0
223,2,False,False,
224,3,True,False,0
225,4,False,False,
226,2,True,True,0
227,2,True,True,0
