NumberOfTrials,NumberShown,Response,Correctness,ResponseTime
1,2,False,False,
2,1,False,False,
3,6,True,True,0
4,4,True,True,0
5,6,True,True,0
6,9,True,True,0
7,7,True,True,0
8,6,True,True,0
9,6,True,True,0
10,1,True,True,0
11,7,True,True,0
12,9,True,True,0
13,6,True,True,0
14,5,True,True,0
15,2,True,True,0
16,7,True,True,0
17,2,True,True,0
18,9,True,True,0
19,6,True,True,0
20,9,True,True,0
21,5,True,True,0
22,3,True,False,0
23,2,False,False,
24,6,True,True,0
25,2,True,True,0
26,8,True,True,0
27,9,True,True,0
28,7,True,True,0
29,1,True,True,0
30,2,True,True,0
31,2,True,True,0
32,5,True,True,0
33,2,True,True,0
34,7,True,True,0
35,9,True,True,0
36,2,True,True,0
37,9,True,True,0
38,6,True,True,0
39,6,True,True,0
40,8,True,True,0
41,4,True,True,0
42,5,True,True,0
43,2,True,True,0
44,1,True,True,0
45,9,True,True,0
46,2,True,True,0
47,6,True,True,0
48,9,True,True,0
49,8,True,True,0
50,7,True,True,0
51,3,True,False,0
52,4,False,False,
53,8,True,True,0
54,6,True,True,0
55,1,True,True,0
56,6,True,True,0
57,7,True,True,0
58,3,True,False,0
59,9,False,False,
60,6,True,True,0
61,1,True,True,0
62,9,True,True,0
63,5,True,True,0
64,7,True,True,0
65,5,True,True,0
66,9,True,True,0
67,3,True,False,0
68,9,False,False,
69,6,True,True,0
70,4,True,True,0
71,3,True,False,0
72,4,False,False,
73,6,True,True,0
74,4,True,True,0
75,6,True,True,0
76,9,True,True,0
77,1,True,True,0
78,3,True,False,0
79,4,False,False,
80,3,True,False,0
81,3,False,True,
82,5,False,False,
83,7,True,True,0
84,7,True,True,0
85,1,True,True,0
86,8,True,True,0
87,8,True,True,0
88,5,True,True,0
89,1,True,True,0
90,3,True,False,0
91,3,False,True,
92,4,False,False,
93,9,True,True,0
94,5,True,True,0
95,1,True,True,0
96,4,True,True,0
97,9,True,True,0
98,4,True,True,0
99,5,True,True,0
100,2,True,True,0
101,7,True,True,0
102,3,True,False,0
103,3,False,True,
104,7,False,False,
105,8,True,True,0
106,2,True,True,0
107,4,True,True,0
108,5,True,True,0
109,4,True,True,0
110,3,True,False,0
111,3,False,True,
112,7,False,False,
113,6,True,True,0
114,8,True,True,0
115,4,True,True,0
116,9,True,True,0
117,8,True,True,0
118,9,True,True,0
119,5,True,True,0
120,7,True,True,0
121,5,True,True,0
122,9,True,True,0
123,9,True,True,0
124,3,True,False,0
125,3,False,True,
126,6,False,False,
127,6,True,True,0
128,2,True,True,0
129,7,True,True,0
130,2,True,True,0
131,6,True,True,0
132,8,True,True,0
133,8,True,True,0
134,8,True,True,0
135,7,True,True,0
136,3,True,False,0
137,1,False,False,
138,1,True,True,0
139,6,True,True,0
140,2,True,True,0
141,5,True,True,0
142,3,True,False,0
143,4,False,False,
144,5,True,True,0
145,5,True,True,0
146,3,True,False,0
147,8,False,False,
148,8,True,True,0
149,6,True,True,0
150,3,True,False,0
151,5,False,False,
152,8,True,True,0
153,1,True,True,0
154,9,True,True,0
155,6,True,True,0
156,4,True,True,0
157,9,True,True,0
158,8,True,True,0
159,8,True,True,0
160,5,True,True,0
161,6,True,True,0
162,2,True,True,0
163,9,True,True,0
164,3,True,False,0
165,6,True,True,0
166,3,True,False,0
167,4,True,True,0
168,3,True,False,0
169,8,False,False,
170,8,True,True,0
171,5,True,True,0
172,7,True,True,0
173,7,True,True,0
174,1,True,True,0
175,2,True,True,0
176,3,True,False,0
177,6,True,True,0
178,6,True,True,0
179,4,True,True,0
180,6,True,True,0
181,2,True,True,0
182,6,True,True,0
183,2,True,True,0
184,4,True,True,0
185,3,True,False,0
186,2,False,False,
187,3,True,False,0
188,6,False,False,
189,7,True,True,0
190,3,True,False,0
191,6,False,False,
192,4,True,True,0
193,7,True,True,0
194,5,True,True,0
195,6,True,True,0
196,2,True,True,0
197,1,True,True,0
198,7,True,True,0
199,2,True,True,0
200,5,True,True,0
201,6,True,True,0
202,1,True,True,0
203,6,True,True,0
204,4,True,True,0
205,8,True,True,0
206,9,True,True,0
207,9,True,True,0
208,5,True,True,0
209,5,True,True,0
210,1,True,True,0
211,8,True,True,0
212,9,True,True,0
213,4,True,True,0
214,3,True,False,0
215,8,True,True,0
216,9,True,True,0
217,1,True,True,0
218,7,True,True,0
219,1,True,True,0
220,7,True,True,0
221,1,True,True,0
222,4,True,True,0
223,7,True,True,0
224,7,True,True,0
225,1,True,True,0
226,9,True,True,0
227,8,True,True,0
